slug,location,latitude,longitude,water_name,city,river_bassin,canton,zone
aubonne,Aubonne,46.46026667,6.39115,Lac Léman,Aubonne,rhone,Vaud,lac
baby-plage,Baby Plage,46.20878333,6.16285,Lac Léman,Genève,rhone,Genève,lac
bouveret,Bouveret,46.389,6.859816667,Lac Léman,Bouveret,rhone,Valais,lac
clarens,Clarens,46.43941667,6.889566667,Lac Léman,Clarens,rhone,Vaud,lac
crans,Crans,46.35538333,6.214033333,Lac Léman,Crans,rhone,Vaud,lac
cully-p,Cully,46.48895,6.7414,Lac Léman,Cully,rhone,Vaud,lac
gland,Gland,46.4188,6.290033333,Lac Léman,Gland,rhone,Vaud,lac
grangettes,Grangettes,46.39621667,6.886716667,Lac Léman,Grangettes,rhone,Vaud,lac
hermance,Hermance,46.30358333,6.240833333,Lac Léman,Hermance,rhone,Genève,lac
lutry,Lutry,46.49995,6.69245,Lac Léman,Lutry,rhone,Vaud,lac
maladaire,Maladaire,46.446296,6.87696,Lac Léman,La Tour-de-Peilz,rhone,Vaud,lac
parc-des-pierrettes,Parc des Pierrettes,46.515215,6.575531,Lac Léman,Saint-Sulpice (VD),rhone,Vaud,lac
pichette,Pichette,46.46991667,6.815783333,Lac Léman,Vevey,rhone,Vaud,lac
plage-de-st-sulpice,Plage de St Sulpice,46.513265,6.570977,Lac Léman,Saint-Sulpice (VD),rhone,Vaud,lac
port-choiseul,Port Choiseul,46.28966667,6.170716667,Lac Léman,Versoix,rhone,Genève,lac
preverenges-p,Préverenges,46.51141667,6.529916667,Lac Léman,Préverenges,rhone,Vaud,lac
rolle,Rolle,46.46133333,6.350633333,Lac Léman,Rolle,rhone,Vaud,lac
savoniere,Savonière,46.26413333,6.199733333,Lac Léman,Savonière,rhone,Genève,lac
tiger-duck-beach,Tiger duck beach,46.518256,6.582546,Lac Léman,Saint-Sulpice (VD),rhone,Vaud,lac
tolochenaz-p,Tolochenaz,46.4917,6.48075,Lac Léman,Tolochenaz,rhone,Vaud,lac
versoix-p,Versoix-p,46.27405,6.171316667,Lac Léman,Versoix,rhone,Genève,lac
vidy-p,Vidy,46.51121667,6.6109,Lac Léman,Vidy,rhone,Vaud,lac
villa-barton,Villa Barton,46.22235,6.1525,Lac Léman,Genève,rhone,Genève,lac
airolo,Airolo,46.514257,8.607884,Alpes Lépontines,Airolo,les-alpes,Ticino,montagne
andermatt,Andermatt,46.618327,8.598803,Alpes Uranaises,Andermatt,les-alpes,Uri,montagne
cabanes-des-diablerets,Cabanes des Diablerets,46.338604,7.215525,Alpes Vaudoises,Ormont-Dessus,les-alpes,Vaud,montagne
charmey,Charmey,46.622641,7.189341,Préalpes Fribourgeoises,Val-de-Charmey,les-alpes,Fribourg,montagne
crans-montana,Crans-Montana,46.334214,7.479386,Alpes Valaisannes,Lens,les-alpes,Valais,montagne
grindelwald,Grindelwald,46.658523,8.065323,Alpes Bernoises,Grindelwald,les-alpes,Bern,montagne
la-berra,La Berra,46.677399,7.178738,Préalpes Fribourgeoises,La Roche,les-alpes,Fribourg,montagne
la-robella,Robella,46.875905,6.548577,Massif du Jura,Val-de-Travers,les-alpes,Neuchâtel,montagne
la-tzoumaz,La Tzoumaz,46.144287,7.232897,Alpes Valaisannes,Riddes,les-alpes,Valais,montagne
les-crosets,Tour Les Crosets,46.183591,6.832916,Alpes Valaisannes,Val-d'Illiez,les-alpes,Valais,montagne
les-diablerets,Les Diablerets,46.346141,7.151228,Alpes Vaudoises,Ormont-Dessus,les-alpes,Vaud,montagne
les-paccots,Les Paccots,46.512592,6.949421,Préalpes Fribourgeoises,Châtel-Saint-Denis,les-alpes,Fribourg,montagne
morgins,Morgins,46.236681,6.858132,Alpes Valaisannes,Troistorrents,les-alpes,Valais,montagne
nendaz,Nendaz,46.162099,7.283486,Alpes Valaisannes,Nendaz,les-alpes,Valais,montagne
san-bernardino,San Bernardino,46.445947,9.191344,Alpes Lépontines,Mesocco,les-alpes,Grisons,montagne
val-calanca,Val Calanca,46.330718,9.120103,Alpes Lépontines,Calanca,les-alpes,Ticino,montagne
verbier,Verbier,46.103981,7.22476,Alpes Valaisannes,Val de Bagnes,les-alpes,Valais,montagne
villars,Villars,46.321937,7.073841,Alpes Vaudoises,Ollon,les-alpes,Vaud,montagne
monte-generoso,Monte Generoso,45.929625,9.019921,Alpes Lépontines,Rovio,les-alpes,Ticino,montagne
arve_carouge_battistellak,arve_carouge_battistellak,46.1784912,6.1543187,Arve,Veyrier,rhone,Genève,rivière
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534,6.6309,La Thièle,Yverdon-les-Bains,aare,Vaud,rivière
lavey-la-source,Lavey la source,46.200804,7.021866,Rhône,Lavey-Morcles,rhone,Vaud,rivière
lavey-les-bains,Lavey les bains,46.2051587,7.012722,Rhône,Lavey-Morcles,rhone,Vaud,rivière
lavey-les-bains-2,lavey les bains-2,46.207726,7.011685,Rhône,Lavey-Morcles,rhone,Vaud,rivière
les-glariers,Les Glariers,46.176736,7.228925,Rhône,Riddes,rhone,Valais,rivière
les-vieux-ronquoz,Les Vieux Ronquoz,46.2220487,7.361664,Rhône,Sion,rhone,Valais,rivière
leuk-mattenstrasse,leuk mattenstrasse,46.3147545,7.6225205,Rhône,Leuk,rhone,Valais,rivière
ognonnaz-1,Ognonnaz 1,46.4599413,6.8591341,Ognonnaz,Vevey,rhone,Vaud,rivière
pont-sous-terre,Pont sous-terre,46.2029598,6.13157672,Rhône,Genève,rhone,Genève,rivière
tschilljus,Tschilljus,46.304399,7.580262,Rhône,Salgesch,rhone,Valais,rivière
anarchy-beach,Anarchy Beach,46.447216,6.859612,Lac Léman,La Tour-de-Peilz,rhone,Vaud,lac
arabie,Arabie,46.462099,6.834972,Lac Léman,Vevey,rhone,Vaud,lac
baby-plage-geneva,Baby Plage Geneva,46.208558,6.162923,Lac Léman,Genève,rhone,Genève,lac
baby-plage-ii-geneve,Baby-Plage II Genève,46.20894,6.16433,Lac Léman,Genève,rhone,Genève,lac
bain-des-dames,Bain des Dames,46.4505068,6.8580918,Lac Léman,La Tour-de-Peilz,rhone,Vaud,lac
baye-de-clarens,Baye de Clarens,46.439787,6.888903,Lac Léman,Montreux,rhone,Vaud,lac
baye-de-montreux-d,Baye de Montreux D,46.430962,6.908673,Lac Léman,Montreux,rhone,Vaud,lac
baye-de-montreux-g,Baye de Montreux G,46.430834,6.908778,Lac Léman,Montreux,rhone,Vaud,lac
boiron,Boiron,46.4910297,6.4801618,Lac Léman,Tolochenaz,rhone,Vaud,lac
cully-plage,Cully plage,46.4888866,6.7413961,Lac Léman,Bourg-en-Lavaux,rhone,Vaud,lac
grand-clos,Grand Clos,46.387746,6.843686,Lac Léman,Saint-Gingolph,rhone,Valais,lac
