slug,area,length,time
airolo,57.0,38,99
andermatt,800.0,100,220
cabanes-des-diablerets,18.0,12,199
charmey,150.0,30,220
crans-montana,64.0,43,149
grindelwald,92.0,61,200
la-berra,1500.0,60,240
la-robella,1200.0,80,200
la-tzoumaz,1200.0,80,240
les-crosets,141.0,94,210
les-diablerets,176.0,118,180
les-paccots,96.0,48,200
morgins,112.0,75,240
nendaz,96.0,64,290
san-bernardino,11.0,5,240
val-calanca,240.0,80,240
verbier,74.0,50,120
villars,550.0,110,240
aabach,75.0,30,90
aare-limmatspitz,253.0,120,90
aare-port,411.0,40,145
aare-solothurn-lido-strand,38.0,11,80
aare_bern_gerberm,148.0,37,150
aare_bern_scheurerk,96.0,32,120
aare_brugg_buchie,113.0,38,70
aare_koniz_hoppej,560.0,70,60
aare_post,490.0,70,70
aare_suhrespitz_badert,55.0,21,50
anarchy-beach,241.0,28,120
ascona-traghetto-spiaggia,185.0,27,120
augustmutzenbergstrandweg,12.0,9,60
baby-plage-geneva,3915.0,932,795
baby-plage-geneva2021-04-2014,0.0,0,60
baby-plage-ii-geneve,858.0,143,180
bain-des-dames,261.0,29,120
baye-de-montreux-g,509.0,141,603
beich,260.0,65,35
bern-fahrstrasse,440.0,55,60
bern-tiergarten,320.0,50,69
bielersee_vinelz_fankhausers,536.0,238,1300
boiron,100.0,50,85
brugg-be-buren-bsg-standort,75.0,36,90
camp-des-peches,93.0,37,110
camping-gwatt-strand,101.0,25,95
canale-saleggi,365.0,44,120
caprino,70.0,28,85
cully-plage,78.0,24,143
delta-park,70.0,35,80
erlach-camping-strand,374.0,57,155
evole-plage,3316.0,691,1695
flibach-river-right-bank,40.8,17,60
foce-del-cassarate,704.0,70,100
gals-reserve,64.0,38,120
gasi-strand,5920.0,1101,1339
gerra-gambarogno,200.0,80,45
golene-gudo,153.0,39,80
grand-clos,1835.0,402,2998
gummligrabbe,24.0,12,45
hafeli,471.0,86,240
hauterive-petite-plage,155.0,42,115
impromptu_cudrefin,24.0,12,70
isole-di-brissago-porto,339.0,57,100
jona-river-rastplatz,326.0,85,150
kusnachter-dorfbach-tobelweg-1-4,1093.0,129,100
la-pecherie,333.0,93,363
la-petite-plage,6066.0,1125,1630
la-thiele_le-mujon_confluence,13.0,19,65
lacleman_gland_lecoanets,511.0,92,170
lavey-la-source,200.0,20,90
lavey-les-bains,420.0,70,165
lavey-les-bains-2,5000.0,100,180
le-pierrier,200.0,57,120
les-glariers,116.0,29,60
les-vieux-ronquoz,156.0,52,90
leuk-mattenstrasse,200.0,50,75
lido,113.0,41,125
ligerz-strand,49.0,15,160
limmat_dietikon_keiserp,179.0,51,55
limmat_unterengstringen_oggierbuhrer,63.0,20,40
limmat_zuerich_suterdglauserp,432.0,67,90
limmat_zuerich_wagnerc,22.0,37,45
limmat_zurich_mortensena_meiera,415.0,62,135
linth_mollis,16.0,10,60
linth_route9brucke,39.0,11,80
linthdammweg,781.0,96,165
lugano-centro,38.0,16,150
luscherz-plage,517.0,236,355
luscherz-two,21.0,21,45
magadino-lido,591.0,110,270
maladaire,2975.5,708,1390
mannewil,66.0,44,120
mols-rocks,50.0,25,60
muhlehorn-dorf,212.0,53,75
mullermatte,4164.0,487,2190
murg-bad,174.0,29,80
nidau-strand,105.0,25,100
nouvelle-plage,160.0,64,90
oben-am-see,256.0,64,140
oberi-chlihochstetten,144.0,18,90
oyonne,132.0,22,175
pacha-mama-gerra,160.0,80,45
parc-des-pierrettes,150.0,46,170
pecos-plage,274.0,70,150
pfafikon-bad,328.0,82,105
plage-de-cheyres,4382.0,1062,1465
plage-de-serriere,286.0,101,210
plage-de-st-sulpice,193.0,41,140
pointe-dareuse,360.0,90,120
pont-sous-terre,100.0,20,90
preverenges,2731.0,612,1760
preverenges-le-sout,300.0,100,160
quai-maria-belgia,1739.0,409,1199
quai-maria-belgia2021-01-3144,0.0,0,60
quai-maria-belgia2021-02-2844,0.0,0,60
rastplatz-stampf,769.0,291,1195
reuss_hunenberg_eberhardy,49.0,16,40
reuss_ottenbach_schoenenbergerl,88.0,22,30
rivapiana,680.0,126,285
rocky-plage,942.0,157,120
route-13,900.0,60,135
ruisseau-de-la-croix-plage,192.0,50,90
san-nazzaro-gambarogno,312.5,125,80
schmerikon-bahnhof-strand,52.0,25,100
schusspark-strand,381.0,92,185
schutzenmatte,405.0,45,240
seeflechsen,700.0,35,90
seemuhlestrasse-strand,499.0,87,90
seez,630.0,45,70
seez_spennwiesenbrucke,12.0,6,50
sentiero-giro-del-golf-spiaggia,1158.0,202,530
signalpain,211.0,47,180
sihl_zuerich_eggerskoehlingera,39.0,13,30
sihl_zuerich_eichenbergerd,113.0,29,55
spackmatt,300.0,99,278
spiaggia-parco-ciani,117.0,23,110
strandbeiz,110.0,48,180
strandboden-biel,420.0,93,249
sundbach-strand,805.0,44,220
thun-strandbad,1723.0,181,210
thunersee_spiez_meierd_1,3074.8,827,1255
tiger-duck-beach,327.0,78,440
tolochenaz,145.0,35,149
tschilljus,8.0,50,90
untertenzen,289.0,111,100
versoix,614.0,190,415
via-brunari-spiaggia,165.0,30,60
via-mirasole-spiaggia,582.0,48,110
vidy-ruines,445.75,64,580
vierwaldstattersee_weggis_schoberls_1,32.0,21,40
vierwaldstattersee_weggis_schoberls_2,85.0,39,55
vierwaldstattersee_weggis_schoberls_3,166.0,23,40
villa-barton,251.0,67,210
vira-gambarogno,974.0,288,385
vira-spiaggia-left-of-river,168.0,23,90
walensee_walenstadt_wysse,5352.0,767,2165
weissenau-neuhaus,3728.0,1045,1880
wycheley,416.0,80,270
zuerichsee_richterswil_benkoem_2,1104.0,505,900
zuerichsee_staefa_hennm,39.0,11,55
zuerichsee_waedenswil_colomboc_1,45.0,30,65
zugerseecholler_cham_blarerm,412.0,104,140
zurcher-strand,106.0,57,395
zurichsee_kusnachterhorn_thirkell-whitej,860.0,394,1180
zurichsee_wollishofen_langendorfm,3921.0,739,1265
aubonne,1432.0,450,800
baby-plage,3248.0,972,1700
bouveret,2883.0,1392,1450
clarens,1087.0,364,495
crans,16.0,21,6
cully-p,67.0,36,32
gland,23.0,23,8
