slug,use,scaled,hex minus,magnitude,binned
cabanes-des-diablerets,Siedl,0.0,0,0,0.0
val-calanca,Siedl,0.0217076700434153,0,0,0.0
san-bernardino,Siedl,0.0225225225225225,0,0,0.0
airolo,Siedl,0.0272206303724928,0,0,0.0
nendaz,Siedl,0.0198863636363636,0,0,0.0
andermatt,Siedl,0.0,0,0,0.0
verbier,Siedl,0.2716927453769558,0,0,0.0
crans-montana,Siedl,0.0084388185654008,0,0,0.0
villars,Siedl,0.0086330935251798,0,0,0.0
les-crosets,Siedl,0.0198863636363636,0,0,0.0
morgins,Siedl,0.0825035561877667,0,0,0.0
la-berra,Siedl,0.001418439716312,0,0,0.0
grindelwald,Siedl,0.0057224606580829,0,0,0.0
la-tzoumaz,Siedl,0.1319148936170213,0,0,0.0
la-robella,Siedl,0.0297029702970297,0,0,0.0
les-diablerets,Siedl,0.1369472182596291,0,0,0.0
charmey,Siedl,0.0413105413105413,0,0,0.0
monte-generoso,Siedl,0.0,0,0,0.0
les-paccots,Siedl,0.074074074074074,0,0,0.0
cabanes-des-diablerets,undefined,0.8680851063829786,0,0,0.0
val-calanca,undefined,0.0477568740955137,0,0,0.0
san-bernardino,undefined,0.1216216216216216,0,0,0.0
airolo,undefined,0.1991404011461318,0,0,0.0
nendaz,undefined,0.1832386363636363,0,0,0.0
andermatt,undefined,0.5014285714285714,0,0,0.0
verbier,undefined,0.0597439544807965,0,0,0.0
crans-montana,undefined,0.2222222222222222,0,0,0.0
villars,undefined,0.1151079136690647,0,0,0.0
les-crosets,undefined,0.109375,0,0,0.0
morgins,undefined,0.0327169274537695,0,0,0.0
la-berra,undefined,0.0439716312056737,0,0,0.0
grindelwald,undefined,0.117310443490701,0,0,0.0
la-tzoumaz,undefined,0.0113475177304964,0,0,0.0
la-robella,undefined,0.0,0,0,0.0
les-diablerets,undefined,0.007132667617689,0,0,0.0
charmey,undefined,0.027065527065527,0,0,0.0
monte-generoso,undefined,0.0,0,0,0.0
les-paccots,undefined,0.0071225071225071,0,0,0.0
cabanes-des-diablerets,recreation,0.0,0,0,0.0
val-calanca,recreation,0.0,0,0,0.0
san-bernardino,recreation,0.0,0,0,0.0
airolo,recreation,0.0,0,0,0.0
nendaz,recreation,0.0,0,0,0.0
andermatt,recreation,0.0,0,0,0.0
verbier,recreation,0.0412517780938833,0,0,0.0
crans-montana,recreation,0.0,0,0,0.0
villars,recreation,0.0503597122302158,0,0,0.0
les-crosets,recreation,0.0,0,0,0.0
morgins,recreation,0.0028449502133712,0,0,0.0
la-berra,recreation,0.0,0,0,0.0
grindelwald,recreation,0.0,0,0,0.0
la-tzoumaz,recreation,0.0028368794326241,0,0,0.0
la-robella,recreation,0.0014144271570014,0,0,0.0
les-diablerets,recreation,0.0085592011412268,0,0,0.0
charmey,recreation,0.0,0,0,0.0
monte-generoso,recreation,0.0,0,0,0.0
les-paccots,recreation,0.0014245014245014,0,0,0.0
cabanes-des-diablerets,Obstanlage,0.0453900709219858,0,0,0.0
val-calanca,Obstanlage,0.0839363241678726,0,0,0.0
san-bernardino,Obstanlage,0.1366366366366366,0,0,0.0
airolo,Obstanlage,0.2722063037249284,0,0,0.0
nendaz,Obstanlage,0.1946022727272727,0,0,0.0
andermatt,Obstanlage,0.2442857142857143,0,0,0.0
verbier,Obstanlage,0.3428165007112376,0,0,0.0
crans-montana,Obstanlage,0.4838255977496484,0,0,0.0
villars,Obstanlage,0.418705035971223,0,0,0.0
les-crosets,Obstanlage,0.6605113636363636,0,0,0.0
morgins,Obstanlage,0.2076813655761024,0,0,0.0
la-berra,Obstanlage,0.3361702127659574,0,0,0.0
grindelwald,Obstanlage,0.6666666666666666,0,0,0.0
la-tzoumaz,Obstanlage,0.126241134751773,0,0,0.0
la-robella,Obstanlage,0.3507779349363508,0,0,0.0
les-diablerets,Obstanlage,0.2624821683309558,0,0,0.0
charmey,Obstanlage,0.4401709401709401,0,0,0.0
monte-generoso,Obstanlage,0.0,0,0,0.0
les-paccots,Obstanlage,0.2834757834757835,0,0,0.0
cabanes-des-diablerets,Wald,0.0865248226950354,0,0,0.0
val-calanca,Wald,0.8277858176555716,0,0,0.0
san-bernardino,Wald,0.6906906906906907,0,0,0.0
airolo,Wald,0.4570200573065903,0,0,0.0
nendaz,Wald,0.5909090909090909,0,0,0.0
andermatt,Wald,0.2514285714285714,0,0,0.0
verbier,Wald,0.2176386913229018,0,0,0.0
crans-montana,Wald,0.2827004219409282,0,0,0.0
villars,Wald,0.3985611510791367,0,0,0.0
les-crosets,Wald,0.1832386363636363,0,0,0.0
morgins,Wald,0.65149359886202,0,0,0.0
la-berra,Wald,0.6127659574468085,0,0,0.0
grindelwald,Wald,0.1988555078683834,0,0,0.0
la-tzoumaz,Wald,0.6879432624113475,0,0,0.0
la-robella,Wald,0.603960396039604,0,0,0.0
les-diablerets,Wald,0.5392296718972895,0,0,0.0
charmey,Wald,0.4886039886039885,0,0,0.0
monte-generoso,Wald,0.0,0,0,0.0
les-paccots,Wald,0.6125356125356126,0,0,0.0
cabanes-des-diablerets,Strasse,9417.0,0,0,0.0
val-calanca,Strasse,38365.0,0,0,0.0
san-bernardino,Strasse,43273.0,0,0,0.0
airolo,Strasse,51349.0,0,0,0.0
nendaz,Strasse,49738.0,0,0,0.0
andermatt,Strasse,22019.0,0,0,0.0
verbier,Strasse,84078.0,0,0,0.0
crans-montana,Strasse,44197.0,0,0,0.0
villars,Strasse,38704.0,0,0,0.0
les-crosets,Strasse,50272.0,0,0,0.0
morgins,Strasse,66409.0,0,0,0.0
la-berra,Strasse,26591.0,0,0,0.0
grindelwald,Strasse,34188.0,0,0,0.0
la-tzoumaz,Strasse,74080.0,0,0,0.0
la-robella,Strasse,52625.0,0,0,0.0
les-diablerets,Strasse,63782.0,0,0,0.0
charmey,Strasse,36786.0,0,0,0.0
monte-generoso,Strasse,17366.0,0,0,0.0
les-paccots,Strasse,35501.0,0,0,0.0
baby-plage,dist,0.7568259076982493,0,1132,16.0
baby-plage,infrastructure,0.1796515823279883,3662673,658005,4.0
baby-plage,recreation,0.0517769399561467,3662673,189642,2.0
baby-plage,Siedl,0.8980646101904265,3662673,3289317,18.0
baby-plage,Stadtzentr,0.0848855467031864,3662673,310908,2.0
baby-plage,undefined,0.017049843106387,3662673,62448,1.0
baby-plage,Strasse,0.2422571184783775,0,52876,5.0
baby-plage,Wald,0.0,0,0,0.0
baby-plage,Reben,0.0,0,0,0.0
baby-plage,Obstanlage,0.0,0,0,0.0
baby-plage,length,0.0,0,0,0.0
versoix-p,dist,0.029686153296268,0,44,1.0
versoix-p,infrastructure,0.0407508433216393,2490746,101500,1.0
versoix-p,recreation,0.0006496045762996,2490746,1618,1.0
versoix-p,Siedl,0.8791791696142441,2490746,2189812,18.0
versoix-p,Wald,0.0610652390890118,2490746,152098,2.0
versoix-p,undefined,0.059755591296744,2490746,148836,2.0
versoix-p,Strasse,0.1620001243155581,0,38673,4.0
versoix-p,Stadtzentr,0.0,0,0,0.0
versoix-p,Reben,0.0,0,0,0.0
versoix-p,Obstanlage,0.0,0,0,0.0
versoix-p,length,0.0,0,0,0.0
aubonne,dist,0.6700848205613618,0,1003,14.0
aubonne,infrastructure,0.0116409552838228,2505894,29171,1.0
aubonne,recreation,0.0021972198345181,2505894,5506,1.0
aubonne,Obstanlage,0.1285154120645167,2505894,322046,3.0
aubonne,Reben,0.1779855811937775,2505894,446013,4.0
aubonne,Siedl,0.0745027523111512,2505894,186696,2.0
aubonne,Wald,0.1715503528880311,2505894,429887,4.0
aubonne,undefined,0.4474459015425233,2505894,1121252,9.0
aubonne,Strasse,0.3031208855788302,0,63647,7.0
aubonne,Stadtzentr,0.0,0,0,0.0
aubonne,length,0.0,0,0,0.0
crans,dist,0.8474234094791898,0,1268,17.0
crans,infrastructure,0.0222076788012554,3199614,71056,1.0
crans,recreation,0.0098352488768957,3199614,31469,1.0
crans,Reben,0.0589774266520899,3199614,188705,2.0
crans,Siedl,0.3670002068999573,3199614,1174259,8.0
crans,undefined,0.5740223664479528,3199614,1836650,12.0
crans,Strasse,0.5892444439421594,0,114282,12.0
crans,Wald,0.0,0,0,0.0
crans,Stadtzentr,0.0,0,0,0.0
crans,Obstanlage,0.0,0,0,0.0
crans,length,0.0,0,0,0.0
gland,dist,0.5550958387149598,0,830,12.0
gland,infrastructure,0.0308432434929322,3377174,104163,1.0
gland,recreation,0.0010804891900743,3377174,3649,1.0
gland,Obstanlage,0.0274738583205958,3377174,92784,1.0
gland,Reben,0.0398102081799753,3377174,134446,1.0
gland,Siedl,0.4333182122093797,3377174,1463391,9.0
gland,Wald,0.1500935397465455,3377174,506892,4.0
gland,undefined,0.3493041815435035,3377174,1179661,7.0
gland,Strasse,0.2157553017760172,0,48186,5.0
gland,Stadtzentr,0.0,0,0,0.0
gland,length,0.0,0,0,0.0
grangettes,dist,0.7087214193560778,0,1060,15.0
grangettes,infrastructure,0.0047459828759915,2485049,11794,1.0
grangettes,recreation,0.0379787279848405,2485049,94379,1.0
grangettes,Wald,0.3729334914522812,2485049,926758,8.0
grangettes,undefined,0.1821799087261458,2485049,452726,4.0
grangettes,Strasse,0.4277641846877136,0,85705,9.0
grangettes,Siedl,0.0,0,0,0.0
grangettes,Stadtzentr,0.0,0,0,0.0
grangettes,Reben,0.0,0,0,0.0
grangettes,Obstanlage,0.0,0,0,0.0
grangettes,length,0.0,0,0,0.0
lutry,dist,0.5329291134813295,0,797,11.0
lutry,infrastructure,0.0207659773640023,3187666,66195,1.0
lutry,recreation,0.0067770588261128,3187666,21603,1.0
lutry,Reben,0.3759123446433848,3187666,1198283,8.0
lutry,Siedl,0.6099544306084765,3187666,1944331,13.0
lutry,undefined,0.0141332247481386,3187666,45052,1.0
lutry,Strasse,0.0891399058592182,0,25779,2.0
lutry,Wald,0.0,0,0,0.0
lutry,Stadtzentr,0.0,0,0,0.0
lutry,Obstanlage,0.0,0,0,0.0
lutry,length,0.0,0,0,0.0
pichette,dist,0.8822934717697923,0,1320,18.0
pichette,infrastructure,0.0026467757459095,3333112,8822,1.0
pichette,recreation,0.0077468143884753,3333112,25821,1.0
pichette,Reben,0.3175434848873965,3333112,1058408,7.0
pichette,Siedl,0.3560861441199696,3333112,1186875,8.0
pichette,Wald,0.0525544896181106,3333112,175170,2.0
pichette,undefined,0.2738158813745233,3333112,912659,6.0
pichette,Strasse,0.2514960247274946,0,54511,6.0
pichette,Stadtzentr,0.0,0,0,0.0
pichette,Obstanlage,0.0,0,0,0.0
pichette,length,0.0,0,0,0.0
preverenges-p,dist,0.5780308518847892,0,865,12.0
preverenges-p,infrastructure,0.0174815361059569,3021302,52817,1.0
preverenges-p,recreation,0.0214573054927974,3021302,64829,1.0
preverenges-p,Obstanlage,0.0722708289340158,3021302,218352,2.0
preverenges-p,Reben,0.0257796142193001,3021302,77888,1.0
preverenges-p,Siedl,0.7727731289358032,3021302,2334781,16.0
preverenges-p,Wald,0.0559212551409955,3021302,168955,2.0
preverenges-p,undefined,0.0732551727698853,3021302,221326,2.0
preverenges-p,Strasse,0.1767258672422853,0,41279,4.0
preverenges-p,Stadtzentr,0.0,0,0,0.0
preverenges-p,length,0.0,0,0,0.0
rolle,dist,0.4328359303570764,0,647,9.0
rolle,infrastructure,0.0173247225218628,3255752,56405,1.0
rolle,recreation,0.0173990525076848,3255752,56647,1.0
rolle,Reben,0.2996942027525438,3255752,975730,6.0
rolle,Siedl,0.6361046541628478,3255752,2070999,13.0
rolle,undefined,0.0642011430846084,3255752,209023,2.0
rolle,Strasse,0.2567455317032927,0,55440,6.0
rolle,Wald,0.0,0,0,0.0
rolle,Stadtzentr,0.0,0,0,0.0
rolle,Obstanlage,0.0,0,0,0.0
rolle,length,0.0,0,0,0.0
tolochenaz-p,dist,0.0847314655971409,0,126,2.0
tolochenaz-p,infrastructure,0.0083417485999215,2162736,18041,1.0
tolochenaz-p,recreation,0.0031011644509547,2162736,6707,1.0
tolochenaz-p,Obstanlage,0.1237266129569212,2162736,267588,3.0
tolochenaz-p,Reben,0.0712865555481575,2162736,154174,2.0
tolochenaz-p,Siedl,0.3595579858105658,2162736,777629,8.0
tolochenaz-p,Wald,0.0483110282531016,2162736,104484,1.0
tolochenaz-p,undefined,0.3971178174312537,2162736,858861,8.0
tolochenaz-p,Strasse,0.0455729534551249,0,18069,1.0
tolochenaz-p,Stadtzentr,0.0,0,0,0.0
tolochenaz-p,length,0.0,0,0,0.0
bouveret,dist,0.7872645674316094,0,1178,16.0
bouveret,infrastructure,0.0258511920343943,3392184,87692,1.0
